"Index","Name","Volume","Margulis Number","Geodesic Length 1","Geodesic Length 2","Ortholine Length"
9885,"v3444(-5,1)",5.896552946633081498118152303,1.2093610478751573,(0.46173748179+1.17969791091j),(0.64880574884-2.59161660813j),1.393957412250483
9886,"v3361(-5,1)",5.896835136199029845144200878,1.264297548969477,(0.401201366215+1.19572861127j),(0.594598526697-1.84024825433j),1.59554362228323
9887,"v3282(-2,3)",5.897141716891225004383059309,1.2283421561340977,(0.574487474902+2.2360174193j),(0.66510640267+2.34191212734j),1.127482530657496
9888,"v3262(-1,4)",5.897349319546347503849833767,1.2404313624591279,(0.906028420078+2.94243090229j),(0.981759844202-2.92820270419j),0.778373899195557
9889,"v3255(-4,1)",5.898006397983448809747658450,1.2407704337835814,(0.520040483751+2.15435000645j),(0.678466421691+2.49414716166j),1.152069443624355
9890,"v3438(4,1)",5.898102962579028964646996567,1.2269781319480535,(0.457730084463-1.53992353896j),(0.806245782538-2.1220787311j),1.258769994073322
9891,"v3300(1,4)",5.898616776780508914770191285,1.267783263201417,(1.05566878038+1.68886943566j),(1.2677832632+1.79537075799j),0.261894822020187
9892,"v3359(5,1)",5.898679954013717759730104223,1.139692962302679,(0.411417971857-1.24551279517j),(0.912893306971+2.78850365467j),1.15180491427693
9893,"v3534(3,2)",5.899003169894753199212667919,1.4314760917330964,(0.635972813141+2.61530716009j),(1.23373299911-2.42197678657j),1.006687883567408
9894,"v3352(-4,1)",5.899153628017577760690666448,1.2805196690267286,(0.711297489702+1.5930858673j),(1.23285715641+1.62056416951j),0.871679488433149
9895,"v3328(1,3)",5.899190021642495273819946798,1.2669951403026103,(1.02968878399+1.56953280914j),(1.10241881708-2.36900832014j),0.761888767225346
9896,"v3504(4,1)",5.899273057089500778632048477,1.2229370465438825,(0.475999433368+2.1451520936j),(0.545120775299-1.30035897512j),1.420311279452033
9897,"v3434(-1,3)",5.899806371811244362356213787,1.1799486947101401,(0.759101559082-2.74758230585j),(1.16173870217+2.27110258521j),0.55349549335608
9898,"v3373(4,1)",5.899892096287501280864633105,1.0841705048154964,(0.852015914082+3.10135874514j),(0.987015261348-2.69113315822j),0.545932889869808
9899,"v3423(-3,2)",5.900946875706039828019311937,1.3390849947060361,(0.428982103716-2.82160862512j),(1.28769744962+1.71208265014j),1.119746680479244
9900,"v3362(-1,3)",5.900970524426553186347812407,1.2179776936564914,(0.757127668017-2.89693889333j),(0.784948673691+2.79924844349j),0.928937407680619
9901,"v3335(-5,2)",5.901101315039016466642080720,1.1598837727698412,(0.785194149867+3.09554384887j),(1.06844351823+1.91995404049j),0.665312647900422
9902,"v3282(-3,2)",5.901664015254144187485439184,1.2332400772391265,(0.550528897954+2.26050236831j),(0.645826202386+2.36308669704j),1.143210850882274
9903,"v3348(1,4)",5.902064842282822353967308055,1.0666112278720654,(0.637531074859+1.55415937569j),(0.734629689465+1.69692583448j),1.034944655702052
9904,"v3422(4,1)",5.902689052306539072796347245,1.1812111880314511,(0.432819927013-1.22726928966j),(0.882376330684+2.53228265679j),1.242182785045434
9905,"v3310(8,1)",5.902827430865424701516333330,1.1248950317927102,(0.353073838512-0.538090412375j),(0.353073838512-0.538090412375j),2.670580498055755
9906,"v3398(-3,2)",5.902925063851182623557282690,1.3041458414741463,(1.02293169649+2.65566112677j),(1.02403909458+1.55956869736j),0.887254573306301
9907,"v3422(-5,1)",5.903173903116120224786374709,1.1624605386944455,(0.443315364706+1.21535458607j),(0.866735689706+2.35613029792j),1.233686958103384
9908,"v3349(-4,3)",5.903235134758468813943330605,1.2175652888724298,(0.386775853184-1.69945526045j),(0.710403633183-1.98454834686j),1.28694807816306
9909,"v3259(2,3)",5.903383966662449979619243479,1.1314402337599156,(0.939830613253-2.77830796118j),(1.11413431101+2.99791737103j),0.402289731400648
9910,"v3251(4,3)",5.903598397524561731154232744,1.2329069938254007,(0.916984325397-2.36117851143j),(0.943283362675-2.28023963177j),0.83506983652482
9911,"v3256(-4,1)",5.903713512803758995335355365,1.2462725493088422,(0.522612659504-2.31895543391j),(0.541659702102-2.08544675931j),1.227794589251892
9912,"v3526(4,1)",5.903858610151356804251380588,1.2254565112082079,(0.47562494781-2.15827357748j),(0.588424841545-1.30527615705j),1.398333268119031
9913,"v3288(-1,4)",5.904241828504243190176033742,1.2141936922325083,(0.318421376633-1.50062635893j),(0.662207341697+1.94677358858j),1.385567542653482
9914,"v3291(-4,1)",5.904415050092364118042317680,1.2359900501163095,(0.526483715566-2.1730388642j),(0.699487687541+2.55866047913j),1.129694369598094
9915,"v3493(4,1)",5.904424970713505810253206465,1.2885386952864939,(0.953302214086+1.61393814365j),(0.95330221409+1.61393814365j),1.048862102409368
9916,"v3491(4,1)",5.904424970713505810253206465,1.288538695321249,(1.2746970739-1.60176159381j),(1.2746970739-1.60176159381j),0.216309671736852
9917,"v3487(4,1)",5.905765436669424356280719154,1.2811330233542992,(0.499951219794-1.22170258622j),(1.26133148035+2.57682744637j),1.001468751163491
9918,"v3302(-2,3)",5.906177440876502835480692462,1.1675926897614304,(0.918527760982-2.08430752013j),(0.918527760982-2.08430752013j),0.779297747698077
9919,"v3495(-4,1)",5.906245785036762067505875994,1.2252731252209301,(0.533344181+1.30085263124j),(0.648320765688+2.61808433894j),1.331031292894623
9920,"v3494(4,1)",5.906245785036762067505875994,1.2252731252217537,(0.533344181-1.30085263124j),(0.64832076569-2.61808433895j),1.331031292895168
9921,"v3486(3,2)",5.906299441165117259597299979,1.2535143348750195,(0.863752600194+1.44098434729j),(0.868589099205-1.40049361551j),1.187604562792081
9922,"v3382(-5,1)",5.906355045758781152419670813,1.2477091902221442,(0.406173089165+0.947170821314j),(1.23056836149+2.92540245342j),1.155347231249907
9923,"v3325(-3,2)",5.906386870991160388517603294,1.0752520703238624,(0.710127632755+1.71034319104j),(0.718337969712+1.64703172233j),0.996173760732613
9924,"v3325(3,4)",5.907298419796321953078283869,1.0847316410299015,(0.590106460343+1.59465020535j),(0.790392288579+1.62854733233j),1.052819925030507
9925,"v3425(5,1)",5.908046914485304024736387666,1.1440194054666268,(0.422519447805-1.04274038346j),(1.07907992887-3.00795408086j),1.093347177571354
9926,"v3417(-1,3)",5.908264277256578474597929890,1.2664646077513788,(0.42321894887-1.71736919257j),(0.635405482667+2.01801250153j),1.361573820830607
9927,"v3297(-5,1)",5.908321728729917815395677157,1.2235166659330743,(0.334134219716+1.11934922587j),(0.689672413168+1.57153089111j),1.616531605655801
9928,"v3271(4,1)",5.908507151171227122830998439,1.2406671212032268,(0.519587545487-2.45884266703j),(0.725762108575+2.17941377906j),1.128090407324786
9929,"v3519(4,1)",5.908874614896608946953885263,1.1212290444405442,(0.565206934298-1.18160788114j),(0.822111218465+2.6110277296j),1.133518214298759
9930,"v3520(-4,1)",5.908874614896608946953885263,1.196093070081536,(0.565206934298+1.18160788114j),(0.830667498311+2.6063216973j),1.242530765843379
